context,current_text,corrected_text,help_text,additional_notes
"CLASS ABILITY - Halfling (sling_volley) | classes.json | Every Halfling in the party makes a full round of attacks before combat starts, once per fight. The log calls it 'Halflings pre-round'.",Full attack round before combat begins (round 1 only).,Sling Volley: Take a free attack round before combat begins.,,
"SPELL FLAVOR NAMES | classes.json flavor_by_level; shown in the expedition log and event modal when a spell fires | Names only, mechanics identical. DECIDE: keep, and reuse them in the sheet text ('Casts Fireball, N per expedition').",Sleep / Fireball / Lightning Bolt,Sleep,,
"TERMINOLOGY - Cleric heals | the sheet says 'heal', the Expedition Event modal says 'cures' (ExpeditionEventModal.vue:258, 333), the summary column says 'Cures'. Pick one word and use it on the sheet, the modal ledger, and the summary.",cure / cures left / heal,cure/cures left/cure,,
EXPEDITION EVENT MODAL resource line | ExpeditionEventModal.vue:257-258 | Party-resources line during an event.,{n} spells left · {n} cures left,,"Spells: Automatically dispatch enemies of a similar level to the caster.
Cures: Prevent an adventurer from dying upon reaching 0 HP and restore some HP.",
EXPEDITION EVENT MODAL ledger headers | ExpeditionEventModal.vue:312 and the cures column | Column heads over per-adventurer counts.,Spells Cast / (cures column),Spells Cast/Damage Healed,,Damage Healed should be amount of damage that the adventurer has healed other people of. So clerics should have it for now and no one else (but leave open for expansion later)
EXPEDITION SUMMARY | frontend/src/views/ExpeditionSummaryView.vue:177,Spells: {n},Spells Left,,"unless it’s actually Spells Cast, in which case use that"
"VILLAGE - Training Grounds description | app/data/buildings.json training_grounds.description | Allowed classes are now Fighter, Elf, Halfling, Dwarf; 'Fighters' undersells it. VERIFY the Village still renders this string after the Aug 23 numbers-first rebuild before spending words on it.","Fighters drill here, improving combat readiness for all parties.","Fighters drill here, improving their combat readiness.",,
"VILLAGE - Training Grounds tier bonuses | buildings.json training_grounds.assigned_bonus_desc | Jargon: 'to-hit', 'check morale at -2'. 'per Fighter' is wrong now that four classes qualify. The Village rebuild shows current_stats/next_stats as numbers; this prose may be redundant. VERIFY it is still displayed.",Tier I: +1 to-hit per Fighter. Tier II: +1 damage per Fighter. Tier III: Monsters check morale at -2.,Adventurers get +1 to-hit per Fighter assigned.,,are these Tier bonuses bonuses per adventurer assigned? Make sure THAT’S clear in the UI
VILLAGE - Training Grounds retire bonus | buildings.json training_grounds.retire_bonus_desc | 'attack strength' is not a stat anywhere else in the game. Confirm what it actually does before rewording.,All parties gain +3 attack strength permanently.,,,"do not display this, it’s not implemented"
VILLAGE - Library tier bonuses | buildings.json library.assigned_bonus_desc | 'M-U' abbreviation; Elves also qualify.,"Tier I: 3% chance per M-U to find magic items. Tier II: Craft Scrolls. Tier III: Craft Artifacts (1000gp, doubles spell uses).",Adventurers have a 3% chance per Magic-User assigned to find magic items in treasure.,,we’re removing tiers for the MVP
VILLAGE - Temple tier bonuses | buildings.json temple.assigned_bonus_desc | Mostly plain. 'Tier' vs the building's own tier names (Shrine/Church/Cathedral) is a mild inconsistency across all four buildings.,Tier I: Each Cleric grants +1 HP/day healing. Tier II: Craft Healing Potions. Tier III: Resurrect highest-level fallen on return.,Adventurers heal +1 HP/day per Cleric assigned.,,
"EQUIPMENT bonus label | frontend/src/utils/adventurer.ts:12 itemBonusLabel | Weapons and armor show a bare '+1' with no unit. Weapon +N adds to hit; armor +N is a damage buffer. DECIDE: leave bare, or 'to hit' / 'armor'.",1,,"Weapons: Bonus to attack rolls to hit.
Armor: Reduces damage received.",
EXPEDITION LOG attack row | frontend/src/components/expeditions/ExpeditionLogTree.vue:194 | Inside a collapsed disclosure; die-roll detail is arguably for the players who want it. DECIDE: leave as is.,{attacker} -> {target} · roll {roll} vs {needed} · hit · {n} dmg / miss / slain,{attacker} hits / misses / slays {target} · {roll} To-Hit vs {needed} Armor Class[ · {n} dmg],,Only show n dmg when target is hit or slain
EXPEDITION LOG morale tag | ExpeditionLogTree.vue:168 | 'morale' is OSE jargon but self-explanatory in context. DECIDE: leave.,{side} morale holds / breaks,,,
EXPEDITION LOG Halfling summary | ExpeditionLogTree.vue:74,"Halflings pre-round - {hits}/{attacks} hits, {n} dmg",Sling Volley – {attacks} attacks · {hits} hits · {n} dmg,,use this as inspiration for standard summary block as well
